simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z	polarization	coa_phase	geocent_end_time	geocent_end_time_ns	gps_time	ULTRASAT_efficiency	ULTRASAT_efficiency_err	ULTRASAT_detection	ZTF_efficiency	ZTF_efficiency_err	ZTF_detection	LSST_efficiency	LSST_efficiency_err	LSST_detection
285	4.3071662	-0.71540193	1.8330854	165.53611	2.2172886	1.6683771	0.02043206	-0.10226046	1.667557716369629	-0.9496497511863708	1021657152	547188163	1021657152.567122	0.034	0.0018122913673027303	0	0.2732	0.004456026929900671	0	0.904	0.0029459124223235145	1
289	4.5719603	0.18239625	2.7323827	429.49705	1.5566183	1.5470729	-0.31360687	-0.15998377	2.2952682971954346	-2.9193248748779297	1018098758	993567467	1018098758.97821	0.0221	0.0014700880925985354	0	0.0373	0.001894959366318972	0	0.3052	0.004604920846225264	0
303	5.6560177	1.3021828	0.78530953	176.66615	1.9804417	1.5728659	0.2707035	-0.060058563	2.009708881378174	1.6789275407791138	1006460162	706528068	1006460162.6915	0.0013	0.00036032069049667407	0	0.1228	0.003282074953440278	1	0.2271	0.00418957742499169	0
307	0.14458171	-0.56041997	0.754721	303.02506	1.9076749	1.6439673	-0.11368209	0.15386307	2.0462162494659424	-1.3981575965881348	1028335322	296566963	1028335322.315329	0.0017	0.00041195994950965806	0	0.0349	0.001835265375906166	0	0.8248	0.0038013808017613813	1
345	4.630322	-0.66546776	1.1815231	94.301663	1.6282926	1.6212021	0.075668913	0.12047067	0.04568982496857643	-2.709451198577881	1021165267	986041784	1021165267.996704	0.0005	0.0002235508890610816	0	0.0009	0.0002998649696113236	0	0.0057	0.0007528286657666537	0
351	4.1477615	-1.2366053	1.637941	248.49674	2.1026083	1.5681136	-0.056483404	0.049974818	0.11718347668647766	-1.5485093593597412	1001151612	371020794	1001151612.388829	0.0011	0.00033148001448051134	0	0.009	0.0009444045743218317	0	0.3645	0.0048128967368934895	1
355	4.4693603	0.0060227824	0.36704139	202.03972	1.5843809	1.4244318	0.18927654	-0.090622781	0.9890925884246826	3.1260061264038086	1022926317	600434065	1022926317.589253	0.5861	0.004925310041002495	0	0.5751	0.0049432781633244145	1	0.7696	0.004210888742296572	1
377	4.4465907	-0.52462484	2.1040702	190.68354	1.8606256	1.4156025	-0.0504004	-0.081965789	3.578512191772461	0.9122719764709473	1003666963	306642175	1003666963.325562	0.0442	0.002055391933427783	0	0.1088	0.0031138811794928847	0	0.0508	0.0021958907076628383	0
389	0.99306268	0.41354738	2.9388185	243.13645	2.015147	1.7036839	0.19490606	-0.14173002	3.305898666381836	0.8537191152572632	1005275718	544019580	1005275718.529561	0.338	0.004730285403651666	0	0.7438	0.004365335725920745	0	0.2938	0.004555014379779717	0
400	1.7323155	1.0728166	3.054899	431.62684	2.0820212	2.052342	0.10798344	0.10094105	5.304819583892822	-2.375077486038208	1017697690	749911070	1017697690.732591	0.0107	0.001028859076841916	0	0.0304	0.0017168529348782324	0	0.2262	0.004183701232162737	0
405	4.2724915	-0.017139	2.6923134	383.74666	2.5524328	1.8953611	0.042788597	0.16971825	5.931326389312744	0.333596408367157	1027474022	59976578	1027474022.044869	0.0292	0.0016836674255921208	0	0.0006	0.0002448754785600224	0	0.4653	0.004987944566652681	0
432	5.4538014	-0.30145734	2.721945	137.42789	1.9553038	1.598768	0.046137355	-0.16938842	3.9810729026794434	-3.038177728652954	1007673342	872622013	1007673342.860759	0.0025	0.0004993746088859545	0	0.035	0.0018377975949489106	0	0.0	0.0	0
450	2.0915601	-0.89701621	2.199447	155.25853	1.7614147	1.6404046	0.028147745	-0.15283329	3.325117826461792	-2.500619411468506	1001240094	688684344	1001240094.694215	0.2088	0.004064511778799515	0	0.0	0.0	0	0.6212	0.004850881981660654	1
456	0.5546788	-0.48953438	2.3696974	132.68662	1.7374422	1.3045142	0.0041980532	0.079679151	1.9431992769241333	-1.005448341369629	1030929201	239812613	1030929201.255943	0.0524	0.002228323136351638	0	0.022	0.0014668333238647122	0	0.5622	0.004961160751275854	1
459	4.6751256	-0.40271448	0.50498561	176.20215	1.8491477	1.7753543	-0.028964498	-0.27243936	5.428712844848633	2.4313104152679443	1000138525	12869239	1000138525.025879	0.0285	0.001663963641429704	0	0.1386	0.003455286384657573	0	0.0727	0.002596434285707998	0
489	4.4001293	-0.38535585	0.88241491	260.46101	2.1352389	1.6083205	0.11828332	0.10776499	4.305900573730469	-0.3038010597229004	1030461641	964086294	1030461641.980729	0.0023	0.0004790313142165134	0	0.0	0.0	0	0.2018	0.004013436931110293	1
495	2.633147	0.12413204	2.5605413	72.52063	1.8246917	1.684224	-0.036481091	-0.17398742	4.739634037017822	-1.1597613096237183	1016801833	109465599	1016801833.12033	0.9741	0.001588369919130932	1	0.8989	0.003014610920168637	1	0.9312	0.0025311372937871224	1
513	4.0460273	-0.26323312	2.8238311	265.95935	2.4079287	2.065	-0.017078719	0.024245777	1.7124654054641724	-2.633397102355957	1028619881	183913112	1028619881.193603	0.0007	0.00026448251359967073	0	0.004	0.00063118935352238	0	0.0414	0.001992135537557623	0
556	3.6291712	0.83921097	0.81131886	166.41611	2.0474886	1.8504444	0.29355336	0.063688845	0.6314252018928528	-2.309757947921753	1012221770	673201919	1012221770.652879	0.0158	0.0012470108259353646	0	0.8622	0.0034468994763410207	1	0.1929	0.00394575201957751	0
566	0.81032889	0.1318375	0.3971431	382.2934	2.3789954	2.2470437	0.14204418	-0.046473611	5.52762508392334	-1.2916988134384155	1018418134	66051126	1018418134.077616	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0
572	2.6894911	0.64489384	2.4759768	214.66787	2.5766225	1.8802561	0.1225053	-0.26032008	2.6637232303619385	-0.856260359287262	1001619359	843978643	1001619359.824951	0.0136	0.0011582331371533107	0	0.0514	0.002208122279222779	0	0.0701	0.002553154715249352	0
573	1.0336457	0.57272927	0.94861214	260.56681	2.5586422	2.2491581	0.1721614	-0.12216629	2.8458731174468994	2.3900206089019775	1023705945	202051163	1023705945.196561	0.0002	0.00014140721339450828	0	0.0019	0.0004354756020720334	0	0.0272	0.0016266579234737709	0
579	1.2790212	0.62251984	0.92001559	182.0584	1.4821264	1.4106323	0.076337675	0.01233029	1.641454815864563	0.3838469088077545	1017014103	209239721	1017014103.188749	0.0226	0.0014862449327079303	0	0.1995	0.003996245112602579	0	0.3407	0.004739446275673984	0
583	0.57647477	0.97924433	0.93557624	187.28647	1.572348	1.3129117	-0.27479791	-0.013484946	3.9205076694488525	-2.8487868309020996	1016059517	868167639	1016059517.849017	0.0013	0.00036032069049667407	0	0.2205	0.004145838274703923	0	0.397	0.0048927599573246995	0
586	4.7685348	-1.0641022	2.4175315	233.07082	1.8058418	1.7939855	0.13427727	0.14779776	1.7372932434082031	2.509162664413452	1001308160	942767382	1001308160.951988	0.0103	0.0010096489488926337	0	0.0066	0.0008097184695929814	0	0.0761	0.0026515804720958405	0
607	6.002164	1.1587567	2.9590777	225.77487	2.1886457	1.3641882	0.026611629	-0.37733561	4.194145679473877	-1.8745449781417847	1009211025	339513540	1009211025.329169	0.022	0.0014668333238647122	0	0.2586	0.004378653217600134	0	0.4617	0.004985309518976731	0
608	5.4467005	-0.075694838	0.47992033	541.25691	2.0764647	2.0147871	-0.26946672	0.059200065	0.18134838342666626	-1.7344788312911987	1001429728	777441978	1001429728.794149	0.0074	0.0008570437561758443	0	0.0165	0.0012738818626544615	0	0.3281	0.004695214478594135	1
616	3.9089746	-0.66672438	0.77339487	280.52702	1.775885	1.2870527	0.16567165	-0.094401831	5.727207660675049	0.4768596887588501	1003056426	801715136	1003056426.81665	0.066	0.002482820976228451	0	0.1777	0.0038226000313922462	0	0.0555	0.002289535979188796	0
628	6.1793294	-1.0586067	1.6060316	158.95027	2.4462075	1.4069027	0.10008383	0.052032248	4.89802885055542	-1.4566868543624878	1026164920	41271806	1026164920.060547	0.0006	0.0002448754785600224	0	0.0007	0.00026448251359967073	0	0.0211	0.0014371774420717854	0
641	1.945415	-0.22953921	1.071389	154.46866	1.5404923	1.2508271	0.10990396	-0.0070132092	2.8100643157958984	-3.022712230682373	1015027185	668955922	1015027185.660748	0.0196	0.001386212104982495	0	0.0052	0.0007192329247191065	0	0.3821	0.00485900802633624	0
666	4.2005184	0.74689065	2.7490041	331.92479	2.4707559	1.6871455	0.058156359	-0.077223959	0.7858620882034302	-1.6450295448303223	1018519728	520356059	1018519728.500136	0.2753	0.004466653221372799	0	0.1866	0.0038959009227648484	0	0.5168	0.004997176802955845	0
667	4.6103201	-0.72769659	2.986707	105.44997	2.1172741	1.3449547	0.13615983	0.18649239	5.247532844543457	-0.7163235545158386	1027498489	846757889	1027498489.84962	0.1225	0.003278623949159159	1	0.2844	0.004511281857742874	0	0.6079	0.004882187931655233	1
672	2.1539093	0.46768821	2.6642966	271.02055	1.7917279	1.6893358	0.085326927	0.1055895	4.066648006439209	2.2892746925354004	1003472637	975765705	1003472637.972543	0.0408	0.001978265907303667	0	0.0088	0.0009339464652751785	0	0.109	0.003116392144772541	0
